model,Body_Type,transmission,No_of_owners,centralVariantId,oem,modelYear,Mileage,Fuel_Type,Kilometer,price,City,Car_Age
Venue,SUV,Automatic,1,6946,Hyundai,2019,18.15,Petrol,72563,981000,hyderabad,5
EON,Hatchback,Manual,2,1497,Hyundai,2013,21.1,Lpg,90000,220000,hyderabad,11
Creta,SUV,Manual,1,8179,Hyundai,2016,13,Petrol,88060,803999,hyderabad,8
Swift,Hatchback,Manual,1,8378,Maruti,2022,22.38,Petrol,20000,800000,hyderabad,2
Innova,MUV,Manual,2,2277,Toyota,2015,12.99,Diesel,119000,950000,hyderabad,9
i20,Hatchback,Manual,1,1604,Hyundai,2017,18.6,Petrol,60000,600000,hyderabad,7
Endeavour,SUV,Automatic,1,7634,Ford,2020,12.4,Diesel,45000,3595000,hyderabad,4
Carnival,MUV,Automatic,2,7015,Kia,2021,14.11,Diesel,80000,2650000,hyderabad,3
Creta,SUV,Manual,1,7210,Hyundai,2020,20.5,Diesel,95315,1475000,hyderabad,4
Wagon,Hatchback,Manual,2,4309,Maruti,2013,20.51,Petrol,100000,263000,hyderabad,11
Santro,Hatchback,Manual,1,1711,Hyundai,2010,17.92,Petrol,31000,245000,hyderabad,14
Vitara,SUV,Manual,1,4297,Maruti,2019,24.3,Diesel,109271,777000,hyderabad,5
Ignis,Hatchback,Automatic,2,5554,Maruti,2019,20.89,Petrol,47844,507000,hyderabad,5
XL6,MUV,Manual,2,7030,Maruti,2021,19.01,Petrol,80000,1050000,hyderabad,3
Wagon,Hatchback,Manual,1,4350,Maruti,2013,18.9,Petrol,62438,297000,hyderabad,11
i20,Hatchback,Manual,3,1648,Hyundai,2013,18.5,Petrol,89318,411000,hyderabad,11
Carnival,MUV,Automatic,2,7015,Kia,2021,14.11,Diesel,90000,2600000,hyderabad,3
Santro,Hatchback,Automatic,2,6670,Hyundai,2019,20.3,Petrol,29200,529000,hyderabad,5
Hector,SUV,Automatic,1,6937,MG,2020,13.96,Petrol,40000,1950000,hyderabad,4
City,Sedan,Automatic,1,9707,Honda,2019,18.4,Petrol,96940,916000,hyderabad,5
Verna,Sedan,Manual,1,5967,Hyundai,2018,17,Petrol,65850,842000,hyderabad,6
i10,Hatchback,Manual,1,1570,Hyundai,2011,20.36,Petrol,90000,290000,hyderabad,13
Santro,Hatchback,Automatic,1,6670,Hyundai,2019,20.3,Petrol,38264,525000,hyderabad,5
Duster,SUV,Automatic,1,5775,Renault,2018,14.99,Petrol,47000,894999,hyderabad,6
Fortuner,SUV,Automatic,1,7947,Toyota,2019,12.9,Diesel,77027,3600000,hyderabad,5
City,Sedan,Manual,1,1263,Honda,2009,16.8,Petrol,78000,385000,hyderabad,15
XUV300,SUV,Manual,2,6799,Mahindra,2019,20,Diesel,70000,1000000,hyderabad,5
Octavia,Sedan,Manual,1,3100,Skoda,2008,12.8,Petrol,112000,300000,hyderabad,16
Verna,Sedan,Manual,1,1817,Hyundai,2013,22.32,Diesel,138000,515000,hyderabad,11
Figo,Hatchback,Manual,1,1034,Ford,2010,20,Diesel,51000,299000,hyderabad,14
i10,Hatchback,Manual,2,1586,Hyundai,2010,20.36,Petrol,83462,268000,hyderabad,14
KWID,Hatchback,Manual,1,7431,Renault,2021,21.74,Petrol,26494,483000,hyderabad,3
X1,SUV,Automatic,1,344,BMW,2011,17.05,Diesel,82000,1299000,hyderabad,13
Baleno,Hatchback,Manual,1,3970,Maruti,2018,21.4,Petrol,68101,618000,hyderabad,6
Swift,Hatchback,Automatic,2,6198,Maruti,2018,28.4,Diesel,99105,691000,hyderabad,6
Creta,SUV,Manual,1,1445,Hyundai,2016,19.67,Diesel,90000,1000000,hyderabad,8
Ciaz,Sedan,Automatic,2,5725,Maruti,2017,19.12,Petrol,70424,653000,hyderabad,7
Vitara,SUV,Automatic,1,6393,Maruti,2018,24.3,Diesel,98000,990000,hyderabad,6
City,Sedan,Manual,2,1287,Honda,2014,25.1,Diesel,79189,537000,hyderabad,10
Wagon,Hatchback,Manual,1,4349,Maruti,2011,18.9,Petrol,115218,252999,hyderabad,13
Verna,Sedan,Manual,1,1832,Hyundai,2012,17.01,Petrol,120000,399000,hyderabad,12
Swift,Hatchback,Manual,2,10405,Maruti,2015,22.38,Petrol,119106,471000,hyderabad,9
City,Sedan,Manual,2,1247,Honda,2011,17,Petrol,60000,340000,hyderabad,13
Swift,Hatchback,Manual,1,6236,Maruti,2017,28.4,Diesel,60000,659000,hyderabad,7
Alto,Hatchback,Manual,1,7075,Maruti,2019,22.05,Petrol,80000,370000,hyderabad,5
Swift,Hatchback,Manual,2,4198,Maruti,2012,22.9,Diesel,143000,400000,hyderabad,12
Swift,Hatchback,Manual,1,4177,Maruti,2018,25.2,Diesel,50000,700000,hyderabad,6
Passat,Sedan,Automatic,1,1936,Volkswagen,2011,14.3,Diesel,105000,750000,hyderabad,13
Innova,MUV,Automatic,1,2403,Toyota,2016,11.36,Diesel,110000,2000000,hyderabad,8
City,Sedan,Manual,1,1247,Honda,2011,17,Petrol,80000,360000,hyderabad,13
Swift,Hatchback,Manual,2,10403,Maruti,2013,22.38,Petrol,121617,368000,hyderabad,11
Vento,Sedan,Manual,2,2008,Volkswagen,2015,15.04,Petrol,83825,556000,hyderabad,9
Swift,Hatchback,Manual,1,4205,Maruti,2014,18.6,Petrol,92299,426000,hyderabad,10
Vitara,SUV,Automatic,2,6393,Maruti,2018,24.3,Diesel,50643,961000,hyderabad,6
TUV,SUV,Manual,2,6002,Mahindra,2018,18.49,Diesel,110243,793000,hyderabad,6
C-Class,Sedan,Automatic,1,4692,Mercedes-Benz,2012,14.84,Diesel,92721,990000,hyderabad,12
Creta,SUV,Automatic,1,1452,Hyundai,2016,13,Petrol,93104,951000,hyderabad,8
Corolla,Sedan,Manual,3,2152,Toyota,2008,14.53,Petrol,83858,300000,hyderabad,16
GO,MUV,Manual,1,7854,Datsun,2021,19.02,Petrol,48869,567000,hyderabad,3
Alto,Hatchback,Manual,1,10332,Maruti,2017,24.39,Petrol,86555,298000,hyderabad,7
Vento,Sedan,Manual,2,2008,Volkswagen,2011,15.04,Petrol,60000,350000,hyderabad,13
Triber,MUV,Manual,1,7419,Renault,2022,20,Petrol,39316,674000,hyderabad,2
Duster,SUV,Manual,2,5066,Renault,2014,20.45,Diesel,110000,450000,hyderabad,10
Bolt,Hatchback,Manual,2,2496,Tata,2016,22.95,Diesel,100000,270000,hyderabad,8
Venue,SUV,Manual,1,6945,Hyundai,2020,18.27,Petrol,60000,1000000,hyderabad,4
XUV500,SUV,Manual,1,3813,Mahindra,2016,16,Diesel,100000,1050000,hyderabad,8
Laura,Sedan,Manual,2,3075,Skoda,2012,20,Diesel,110000,450000,hyderabad,12
M-Class,SUV,Automatic,1,4659,Mercedes-Benz,2011,19.18624891,Diesel,135000,1725000,hyderabad,13
Urban,SUV,Automatic,1,7974,Toyota,2022,18.76,Petrol,19500,1175000,hyderabad,2
Amaze,Sedan,Automatic,1,7445,Honda,2021,18.3,Petrol,22127,940000,hyderabad,3
Alto,Hatchback,Manual,2,7073,Maruti,2015,22.05,Petrol,78010,250999,hyderabad,9
Ecosport,SUV,Manual,1,7352,Ford,2021,15.9,Petrol,14087,988000,hyderabad,3
ZS,SUV,Automatic,1,8880,MG,2022,19.18624891,Electric,30000,2675000,hyderabad,2
Nexon,SUV,Manual,1,8896,Tata,2022,21.19,Diesel,55253,1157000,hyderabad,2
Seltos,SUV,Automatic,1,7122,Kia,2020,16.5,Petrol,63008,1598000,hyderabad,4
ZS,SUV,Automatic,1,8880,MG,2022,19.18624891,Electric,22000,2675000,hyderabad,2
Alto,Hatchback,Manual,1,7073,Maruti,2015,22.05,Petrol,73944,266000,hyderabad,9
Superb,Sedan,Automatic,1,7803,Skoda,2021,15.1,Petrol,37000,3275000,hyderabad,3
Alto,Hatchback,Manual,2,7073,Maruti,2017,22.05,Petrol,52052,279000,hyderabad,7
Grand,Hatchback,Manual,2,5602,Hyundai,2018,18.9,Petrol,42399,465000,hyderabad,6
Swift,Sedan,Manual,1,4209,Maruti,2015,26.59,Diesel,50000,210000,hyderabad,9
Wagon,Hatchback,Manual,1,7583,Maruti,2020,32.52,Cng,64584,549000,hyderabad,4
Eeco,Minivans,Manual,1,4023,Maruti,2014,15.37,Petrol,44000,345000,hyderabad,10
KWID,Hatchback,Automatic,1,8707,Renault,2017,23.01,Petrol,101434,300000,hyderabad,7
Eeco,Hatchback,Manual,1,9452,Maruti,2019,19.71,Petrol,13500,495000,hyderabad,5
Ameo,Sedan,Manual,2,1879,Volkswagen,2017,21.66,Diesel,75000,475000,hyderabad,7
Verna,Sedan,Manual,1,1817,Hyundai,2012,22.32,Diesel,75000,445000,hyderabad,12
City,Sedan,Manual,1,1245,Honda,2010,17,Petrol,96402,165000,hyderabad,14
Hector,SUV,Automatic,1,8345,MG,2021,19.18624891,Petrol,20225,1491000,hyderabad,3
i10,Hatchback,Manual,1,1567,Hyundai,2016,19.81,Petrol,55000,290000,hyderabad,8
Nexon,SUV,Manual,1,7384,Tata,2021,17.33,Petrol,44641,860000,hyderabad,3
i10,Hatchback,Manual,1,1568,Hyundai,2010,20.36,Petrol,83958,241000,hyderabad,14
Scorpio,SUV,Manual,3,3686,Mahindra,2006,10.5,Diesel,124406,121000,hyderabad,18
Nexon,SUV,Automatic,2,6364,Tata,2018,17,Petrol,35226,817000,hyderabad,6
i10,Hatchback,Automatic,2,1571,Hyundai,2011,16.95,Petrol,75552,330000,hyderabad,13
i10,Hatchback,Manual,1,1586,Hyundai,2010,20.36,Petrol,107972,185000,hyderabad,14
Ameo,Sedan,Manual,1,6382,Volkswagen,2019,19.44,Petrol,46451,568000,hyderabad,5
Eeco,Minivans,Manual,1,7344,Maruti,2021,16.11,Petrol,28220,470000,hyderabad,3
S-Presso,Hatchback,Automatic,1,7175,Maruti,2019,21.7,Petrol,77415,457000,hyderabad,5
Venue,SUV,Automatic,1,6946,Hyundai,2020,18.15,Petrol,47314,1022000,hyderabad,4
KWID,Hatchback,Automatic,1,7192,Renault,2017,24.04,Petrol,50000,312000,hyderabad,7
Indica,Hatchback,Manual,2,2641,Tata,2012,19.4,Diesel,120000,117000,hyderabad,12
Rapid,Sedan,Manual,1,5497,Skoda,2018,21.13,Diesel,40000,869999,hyderabad,6
Brio,Hatchback,Manual,2,1188,Honda,2013,19.4,Petrol,80000,285000,hyderabad,11
Fortuner,SUV,Manual,1,5505,Toyota,2018,14.24,Diesel,120000,2800000,hyderabad,6
Eeco,Hatchback,Manual,1,9452,Maruti,2020,19.71,Petrol,16415,520000,hyderabad,4
Alto,Hatchback,Manual,2,3903,Maruti,2008,19.7,Petrol,110000,100000,hyderabad,16
Wagon,Hatchback,Automatic,1,7055,Maruti,2019,20.52,Petrol,30564,550000,hyderabad,5
Figo,Hatchback,Manual,2,1034,Ford,2011,20,Diesel,90000,185000,hyderabad,13
GO,MUV,Manual,3,6655,Datsun,2019,19.83,Petrol,62674,430999,hyderabad,5
Jazz,Hatchback,Automatic,1,6503,Honda,2018,18.2,Petrol,61710,631000,hyderabad,6
Verna,Sedan,Automatic,1,1827,Hyundai,2012,22.32,Diesel,95000,476000,hyderabad,12
Creta,SUV,Automatic,1,1444,Hyundai,2017,17.01,Diesel,99215,1119000,hyderabad,7
Nexon,SUV,Automatic,1,6387,Tata,2019,21.5,Diesel,46034,1002000,hyderabad,5
Ertiga,MUV,Manual,1,4060,Maruti,2014,16.02,Petrol,20000,685000,hyderabad,10
Brio,Hatchback,Manual,1,1204,Honda,2013,19.4,Petrol,60993,347000,hyderabad,11
XUV500,SUV,Manual,2,3804,Mahindra,2015,16,Diesel,90000,650000,hyderabad,9
Swift,Sedan,Manual,1,5834,Maruti,2017,28.4,Diesel,71821,756000,hyderabad,7
Hector,SUV,Manual,1,7482,MG,2021,15.81,Petrol,2486,1581000,hyderabad,3
Civic,Sedan,Automatic,3,1299,Honda,2006,12.9,Petrol,60000,229999,hyderabad,18
Grand,Hatchback,Manual,1,7089,Hyundai,2020,20.7,Petrol,12740,584000,hyderabad,4
Nexon,SUV,Automatic,1,8504,Tata,2022,19.18624891,Electric,30000,1500000,hyderabad,2
Grand,Hatchback,Manual,2,5597,Hyundai,2018,24,Diesel,79079,400000,hyderabad,6
Altroz,Hatchback,Manual,1,6834,Tata,2022,19.33,Petrol,28522,535000,hyderabad,2
E,Sedan,Automatic,1,3526,Mahindra,2018,19.18624891,Electric,67200,409999,hyderabad,6
E,Sedan,Automatic,1,3526,Mahindra,2018,19.18624891,Electric,50000,295000,hyderabad,6
S60,Sedan,Automatic,1,2064,Volvo,2018,27.03,Diesel,46000,2200000,hyderabad,6
Scorpio,SUV,Manual,1,9181,Mahindra,2022,19.18624891,Diesel,20000,2120000,hyderabad,2
KUV,SUV,Manual,1,3576,Mahindra,2016,25.32,Diesel,80000,310000,hyderabad,8
KWID,Hatchback,Manual,1,8976,Renault,2017,23.01,Petrol,29011,337000,hyderabad,7
Seltos,SUV,Manual,1,7107,Kia,2020,16.8,Petrol,42372,1259000,hyderabad,4
Thar,SUV,Automatic,2,8074,Mahindra,2021,19.18624891,Petrol,23147,1400000,hyderabad,3
City,Sedan,Manual,1,7900,Honda,2022,24.1,Diesel,22310,1291000,hyderabad,2
Celerio,Hatchback,Automatic,1,10360,Maruti,2016,26,Petrol,18732,498000,hyderabad,8
Etios,Sedan,Manual,1,2178,Toyota,2016,23.59,Diesel,95417,470000,hyderabad,8
City,Sedan,Automatic,2,1276,Honda,2014,18,Petrol,62015,545000,hyderabad,10
Ecosport,SUV,Automatic,1,7921,Ford,2018,14.7,Petrol,54000,894999,hyderabad,6
KWID,Hatchback,Automatic,2,8707,Renault,2019,23.01,Petrol,51237,426999,hyderabad,5
Xcent,Sedan,Manual,1,5786,Hyundai,2017,20.14,Petrol,36140,559000,hyderabad,7
Swift,Hatchback,Manual,2,6318,Maruti,2018,28.4,Diesel,80000,650000,hyderabad,6
Celerio,Hatchback,Automatic,2,10360,Maruti,2016,26,Petrol,70895,443000,hyderabad,8
Grand,Hatchback,Manual,1,5600,Hyundai,2018,24,Diesel,90000,480000,hyderabad,6
Tigor,Sedan,Manual,1,7373,Tata,2020,19.28,Petrol,60000,660000,hyderabad,4
Wagon,Hatchback,Manual,1,6739,Maruti,2007,21.79,Petrol,70237,145000,hyderabad,17
Santro,Hatchback,Manual,1,1720,Hyundai,2007,17,Petrol,89592,165000,hyderabad,17
Cruze,Sedan,Manual,1,477,Chevrolet,2010,18.3,Diesel,79333,380000,hyderabad,14
Swift,Sedan,Manual,1,4242,Maruti,2014,23.4,Diesel,82144,450000,hyderabad,10
3,Sedan,Automatic,1,196,BMW,2018,22.69,Diesel,40000,2300000,hyderabad,6
Vento,Sedan,Automatic,2,2042,Volkswagen,2015,21.21,Diesel,129517,500000,hyderabad,9
Santro,Hatchback,Automatic,1,6670,Hyundai,2019,20.3,Petrol,39881,531000,hyderabad,5
Altroz,Hatchback,Manual,1,8025,Tata,2021,18.5,Petrol,12280,744000,hyderabad,3
Manza,Sedan,Manual,1,2753,Tata,2011,21.12,Diesel,70000,200000,hyderabad,13
Celerio,Hatchback,Manual,1,7871,Maruti,2020,19.18624891,Cng,49984,576000,hyderabad,4
Ecosport,SUV,Automatic,1,6088,Ford,2017,14.8,Petrol,51258,760000,hyderabad,7
Xcent,Sedan,Manual,2,8273,Hyundai,2019,19.18624891,Cng,90000,400000,hyderabad,5
Brio,Hatchback,Manual,2,1203,Honda,2012,19.4,Petrol,95178,273000,hyderabad,12
Ameo,Sedan,Manual,1,6385,Volkswagen,2016,19.44,Petrol,62000,480000,hyderabad,8
Creta,SUV,Manual,1,1445,Hyundai,2016,19.67,Diesel,119781,922000,hyderabad,8
Altroz,Hatchback,Manual,2,8025,Tata,2021,18.5,Petrol,31750,746000,hyderabad,3
Innova,MUV,Automatic,1,2403,Toyota,2019,11.36,Diesel,78000,2400000,hyderabad,5
Verna,Sedan,Manual,1,1817,Hyundai,2013,22.32,Diesel,110000,490000,hyderabad,11
Grand,Hatchback,Automatic,1,1544,Hyundai,2014,18.9,Petrol,73400,459999,hyderabad,10
Tiago,Hatchback,Automatic,3,5653,Tata,2018,23.84,Petrol,40000,490000,hyderabad,6
XUV500,SUV,Automatic,1,7985,Mahindra,2020,15.1,Diesel,49500,1589000,hyderabad,4
Verna,Sedan,Manual,1,7731,Hyundai,2022,17.7,Petrol,14991,930000,hyderabad,2
Ertiga,MUV,Manual,1,7045,Maruti,2022,19.01,Petrol,32363,702000,hyderabad,2
Verna,Sedan,Manual,2,1817,Hyundai,2013,22.32,Diesel,60000,465000,hyderabad,11
Santro,Hatchback,Manual,2,1699,Hyundai,2002,19.18624891,Petrol,99750,50000,hyderabad,22
Rapid,Sedan,Manual,1,7838,Skoda,2021,18.97,Petrol,15504,1008000,hyderabad,3
Ecosport,SUV,Manual,1,6087,Ford,2018,17,Petrol,20858,813000,hyderabad,6
Compass,SUV,Automatic,1,5935,Jeep,2019,16,Petrol,30000,1485000,hyderabad,5
Thar,SUV,Manual,2,3744,Mahindra,2018,16.55,Diesel,90305,744000,hyderabad,6
Creta,SUV,Manual,1,1442,Hyundai,2017,19.67,Diesel,99128,989000,hyderabad,7
Compass,SUV,Automatic,1,6747,Jeep,2019,16,Petrol,30000,1485000,hyderabad,5
Amaze,Sedan,Manual,2,1168,Honda,2014,18,Petrol,52597,408000,hyderabad,10
Swift,Hatchback,Manual,3,4164,Maruti,2015,25.2,Diesel,112921,400000,hyderabad,9
Swift,Sedan,Manual,1,4242,Maruti,2014,23.4,Diesel,73626,492000,hyderabad,10
KWID,Hatchback,Automatic,1,5657,Renault,2018,24.04,Petrol,42964,446000,hyderabad,6
Ciaz,Sedan,Manual,2,4020,Maruti,2016,28.09,Diesel,100000,500000,hyderabad,8
Compass,SUV,Manual,1,5932,Jeep,2017,17.1,Diesel,89906,1103000,hyderabad,7
Scorpio,SUV,Manual,2,6114,Mahindra,2018,16.36,Diesel,80000,960000,hyderabad,6
Swift,Sedan,Manual,1,9005,Maruti,2019,19.95,Diesel,110000,550000,hyderabad,5
Seltos,SUV,Manual,1,7118,Kia,2019,20.8,Diesel,40000,1500000,hyderabad,5
Tiago,Hatchback,Automatic,2,7379,Tata,2020,19,Petrol,40000,660000,hyderabad,4
Xcent,Sedan,Manual,1,1866,Hyundai,2015,24.4,Diesel,90000,365000,hyderabad,9
Elantra,Sedan,Automatic,1,5378,Hyundai,2018,18.23,Diesel,30000,1450000,hyderabad,6
Polo,Hatchback,Automatic,1,7790,Volkswagen,2021,16.47,Petrol,45416,900000,hyderabad,3
i20,Hatchback,Manual,1,1655,Hyundai,2013,18.5,Petrol,64000,385000,hyderabad,11
Hector,SUV,Automatic,1,8342,MG,2021,19.18624891,Petrol,16769,1639000,hyderabad,3
Magnite,SUV,Manual,1,8132,Nissan,2021,20,Petrol,30580,765000,hyderabad,3
Rover,SUV,Automatic,1,5538,Land Rover,2018,15.68,Diesel,47000,4500000,hyderabad,6
Nexon,SUV,Automatic,2,7404,Tata,2021,17.05,Petrol,25596,991000,hyderabad,3
Vitara,SUV,Manual,1,4298,Maruti,2017,24.3,Diesel,89681,744000,hyderabad,7
Ertiga,MUV,Manual,1,7045,Maruti,2018,19.01,Petrol,42000,825000,hyderabad,6
Triber,MUV,Automatic,1,7825,Renault,2022,18.2,Petrol,29302,770000,hyderabad,2
City,Sedan,Automatic,1,1285,Honda,2015,18,Petrol,41200,745000,hyderabad,9
Harrier,SUV,Manual,1,7423,Tata,2021,16.35,Diesel,70076,1775000,hyderabad,3
Ecosport,SUV,Manual,1,6093,Ford,2018,23,Diesel,90114,765000,hyderabad,6
Bolero,SUV,Manual,4,3461,Mahindra,2014,15.96,Diesel,80000,250000,hyderabad,10
Duster,SUV,Automatic,1,5775,Renault,2019,14.99,Petrol,5933,835000,hyderabad,5
Tiago,Hatchback,Manual,1,2969,Tata,2017,23.84,Petrol,30000,470000,hyderabad,7
Alto,Hatchback,Manual,1,3957,Maruti,2011,20.92,Petrol,60000,200000,hyderabad,13
EQC,SUV,Automatic,1,6589,Mercedes-Benz,2021,19.18624891,Electric,20000,7500000,hyderabad,3
A4,Sedan,Automatic,1,5289,Audi,2013,16.55,Diesel,66000,1299000,hyderabad,11
C-Class,Sedan,Manual,1,4708,Mercedes-Benz,2002,16,Petrol,135000,225000,hyderabad,22
Octavia,Sedan,Manual,1,5343,Skoda,2007,18.7,Diesel,110000,249000,hyderabad,17
Superb,Sedan,Automatic,1,3199,Skoda,2007,11.9,Diesel,133000,279000,hyderabad,17
Figo,Hatchback,Manual,1,1035,Ford,2011,20,Diesel,61000,310000,hyderabad,13
KWID,Hatchback,Manual,1,7897,Renault,2021,21.46,Petrol,29828,418000,hyderabad,3
EON,Hatchback,Manual,3,1502,Hyundai,2015,21.1,Petrol,58321,256999,hyderabad,9
S60,Sedan,Automatic,1,2068,Volvo,2012,18.5,Diesel,85000,799000,hyderabad,12
Amaze,Sedan,Manual,2,6415,Honda,2019,19.5,Petrol,37566,622000,hyderabad,5
Alto,Hatchback,Manual,2,7073,Maruti,2016,22.05,Petrol,60610,238000,hyderabad,8
Polo,Hatchback,Manual,1,1956,Volkswagen,2011,16.47,Petrol,30000,365000,hyderabad,13
Baleno,Hatchback,Automatic,1,3960,Maruti,2019,21.4,Petrol,32098,753000,hyderabad,5
City,Sedan,Manual,1,1284,Honda,2015,26,Diesel,100000,520000,hyderabad,9
KWID,Hatchback,Automatic,1,8707,Renault,2018,23.01,Petrol,48556,394000,hyderabad,6
Verna,Sedan,Automatic,1,5962,Hyundai,2018,22,Diesel,76654,991000,hyderabad,6
Creta,SUV,Manual,1,8471,Hyundai,2021,19.18624891,Diesel,50000,1400000,hyderabad,3
Glanza,Hatchback,Automatic,1,6978,Toyota,2019,19.56,Petrol,39014,773000,hyderabad,5
Abarth,Hatchback,Manual,2,718,Fiat,2015,17.1,Petrol,105000,475000,hyderabad,9
Cruze,Sedan,Manual,1,477,Chevrolet,2010,18.3,Diesel,95000,465000,hyderabad,14
Fortuner,SUV,Manual,1,2263,Toyota,2010,11.5,Diesel,122000,1199000,hyderabad,14
XUV300,SUV,Automatic,1,8579,Mahindra,2022,16.5,Petrol,10000,1300000,hyderabad,2
Endeavour,SUV,Automatic,1,6212,Ford,2020,12.62,Diesel,45000,3575000,hyderabad,4
Ecosport,SUV,Manual,1,6093,Ford,2017,23,Diesel,80000,700000,hyderabad,7
Ecosport,SUV,Manual,1,891,Ford,2015,22.77,Diesel,120000,450000,hyderabad,9
Endeavour,SUV,Automatic,1,7634,Ford,2020,12.4,Diesel,44989,3900000,hyderabad,4
EON,Hatchback,Manual,2,1493,Hyundai,2016,21.1,Petrol,68336,289000,hyderabad,8
Swift,Hatchback,Manual,1,10403,Maruti,2013,22.38,Petrol,79202,403000,hyderabad,11
Innova,MUV,Manual,2,2320,Toyota,2008,12.8,Diesel,150000,380000,hyderabad,16
Jazz,Hatchback,Manual,2,1337,Honda,2018,27.3,Diesel,101883,617000,hyderabad,6
Creta,SUV,Automatic,1,6439,Hyundai,2018,17.6,Diesel,105405,1192000,hyderabad,6
Verna,Sedan,Manual,1,1832,Hyundai,2012,17.01,Petrol,120000,340000,hyderabad,12
Polo,Hatchback,Automatic,1,7746,Volkswagen,2021,16.47,Petrol,55053,925000,hyderabad,3
Baleno,Hatchback,Manual,1,8817,Maruti,2022,22.35,Petrol,10000,850000,hyderabad,2
Alto,Hatchback,Manual,1,10332,Maruti,2015,24.39,Petrol,111046,225000,hyderabad,9
Celerio,Hatchback,Manual,1,10362,Maruti,2022,19.18624891,Cng,1457,692000,hyderabad,2
Motors,Sedan,Manual,2,1136,Hindustan Motors,1997,14,Petrol,90000,425000,hyderabad,27
Bolero,SUV,Manual,1,8565,Mahindra,2022,17.29,Diesel,63752,1180000,hyderabad,2
Manza,Sedan,Manual,2,2755,Tata,2010,19,Diesel,80000,195000,hyderabad,14
Xcent,Sedan,Manual,1,5778,Hyundai,2018,25.4,Diesel,50000,420000,hyderabad,6
Swift,Hatchback,Manual,3,4204,Maruti,2012,22.9,Diesel,91543,350000,hyderabad,12
Aspire,Sedan,Manual,1,6626,Ford,2019,26.1,Diesel,60000,590000,hyderabad,5
Nexon,SUV,Manual,1,7391,Tata,2021,23.22,Diesel,30000,960000,hyderabad,3
Vitara,SUV,Manual,1,4301,Maruti,2017,24.3,Diesel,74320,750000,hyderabad,7
Beat,Hatchback,Manual,2,454,Chevrolet,2014,25.44,Diesel,70000,240000,hyderabad,10
Brezza,SUV,Manual,1,9183,Maruti,2022,19.89,Petrol,10000,1260000,hyderabad,2
City,Sedan,Manual,2,1213,Honda,2016,17.8,Petrol,53326,617000,hyderabad,8
Swift,Sedan,Automatic,1,5836,Maruti,2019,28.4,Diesel,97112,770000,hyderabad,5
Creta,SUV,Automatic,1,7693,Hyundai,2022,19.18624891,Petrol,10000,1800000,hyderabad,2
Grand,Hatchback,Automatic,1,5606,Hyundai,2018,18.9,Petrol,8345,642000,hyderabad,6
Wagon,Hatchback,Manual,2,4310,Maruti,2014,20.51,Petrol,45852,318000,hyderabad,10
Polo,Hatchback,Manual,1,1938,Volkswagen,2016,21.49,Diesel,90000,620000,hyderabad,8
Magnite,SUV,Automatic,1,8140,Nissan,2022,17.4,Petrol,12094,951000,hyderabad,2
Ertiga,MUV,Automatic,1,7049,Maruti,2021,17.99,Petrol,20000,900000,hyderabad,3
Alcazar,SUV,Manual,1,8467,Hyundai,2021,20.4,Diesel,30111,1807999,hyderabad,3
Swift,Hatchback,Automatic,1,10406,Maruti,2018,22.56,Petrol,34840,669000,hyderabad,6
Rapid,Sedan,Automatic,2,5499,Skoda,2018,21.72,Diesel,100000,680000,hyderabad,6
Vento,Sedan,Manual,2,2016,Volkswagen,2013,20.54,Diesel,110807,376000,hyderabad,11
Sonet,SUV,Manual,1,8000,Kia,2022,18.4,Petrol,10000,1050000,hyderabad,2
Santro,Hatchback,Manual,5,1721,Hyundai,2004,17,Petrol,131561,96000,hyderabad,20
Aura,Sedan,Manual,1,7327,Hyundai,2021,20.5,Petrol,38370,600000,hyderabad,3
Vitara,SUV,Manual,1,7568,Maruti,2020,17.03,Petrol,60000,880000,hyderabad,4
Triber,MUV,Manual,1,7421,Renault,2020,20,Petrol,30000,640000,hyderabad,4
Accent,Sedan,Manual,2,1423,Hyundai,2003,13.1,Diesel,120000,80000,hyderabad,21
XUV300,SUV,Manual,1,7240,Mahindra,2020,17,Petrol,50000,850000,hyderabad,4
3,Sedan,Automatic,1,241,BMW,2012,18.88,Diesel,70000,900000,hyderabad,12
Santro,Hatchback,Manual,2,1711,Hyundai,2010,17.92,Petrol,90566,195000,hyderabad,14
Verna,Sedan,Automatic,2,5962,Hyundai,2019,22,Diesel,67370,1033000,hyderabad,5
Hector,SUV,Automatic,1,7486,MG,2021,13.96,Petrol,20000,1700000,hyderabad,3
Marazzo,MUV,Manual,1,7949,Mahindra,2021,17.3,Diesel,19661,1268000,hyderabad,3
Venue,SUV,Manual,1,7687,Hyundai,2021,23.7,Diesel,58177,1120000,hyderabad,3
SX4,SUV,Manual,1,7933,Maruti,2020,18.55,Petrol,40000,850000,hyderabad,4
Duster,SUV,Manual,1,5053,Renault,2013,20.46,Diesel,76134,408000,hyderabad,11
Creta,SUV,Manual,1,7698,Hyundai,2022,19.18624891,Diesel,40000,1750000,hyderabad,2
City,Sedan,Manual,1,1286,Honda,2014,26,Diesel,90102,542000,hyderabad,10
RediGO,Hatchback,Manual,2,5234,Datsun,2019,22.7,Petrol,32329,287000,hyderabad,5
XUV300,SUV,Manual,1,7240,Mahindra,2020,17,Petrol,50000,810000,hyderabad,4
Nexon,SUV,Automatic,2,7403,Tata,2020,16.35,Petrol,72812,969000,hyderabad,4
