model,Body_Type,transmission,No_of_owners,centralVariantId,oem,modelYear,Mileage,Fuel_Type,Kilometer,price,City,Car_Age
Ciaz,Sedan,Manual,1,5717,Maruti,2017,28.09,Diesel,108902,650000,Chennai,7
Ameo,Sedan,Manual,1,1882,Volkswagen,2016,21.66,Diesel,100425,570000,Chennai,8
Xcent,Sedan,Manual,2,1871,Hyundai,2016,19.1,Petrol,70887,458000,Chennai,8
City,Sedan,Manual,2,1215,Honda,2016,17.8,Petrol,114981,577000,Chennai,8
WR-V,SUV,Manual,1,5668,Honda,2018,17.5,Petrol,45000,900000,Chennai,6
Grand,Hatchback,Manual,1,7091,Hyundai,2021,20.7,Petrol,45416,649000,Chennai,3
i20,Hatchback,Manual,1,1482,Hyundai,2016,18.6,Petrol,119468,549000,Chennai,8
Vento,Sedan,Automatic,3,2041,Volkswagen,2015,21.21,Diesel,100000,650000,Chennai,9
Swift,Sedan,Manual,1,10244,Maruti,2017,22.41,Petrol,119975,513999,Chennai,7
3,Sedan,Automatic,1,5822,BMW,2017,15.34,Petrol,19000,3900000,Chennai,7
Grand,Hatchback,Manual,2,1552,Hyundai,2016,18.9,Petrol,64906,455999,Chennai,8
Baleno,Hatchback,Manual,2,3962,Maruti,2016,21.4,Petrol,81484,501999,Chennai,8
Swift,Sedan,Manual,1,7076,Maruti,2018,21.21,Petrol,45067,685000,Chennai,6
S-Class,Sedan,Automatic,1,4722,Mercedes-Benz,2018,7.81,Petrol,68000,11000000,Chennai,6
Jazz,Hatchback,Manual,1,1335,Honda,2016,18.7,Petrol,65768,580000,Chennai,8
Jazz,Hatchback,Manual,2,1341,Honda,2016,18.7,Petrol,61000,530000,Chennai,8
S-Class,Sedan,Automatic,3,4724,Mercedes-Benz,2009,13,Diesel,50000,1700000,Chennai,15
5,Sedan,Automatic,1,5871,BMW,2018,18.12,Diesel,23000,4375000,Chennai,6
7,Sedan,Automatic,1,304,BMW,2018,16.46,Diesel,17000,8200000,Chennai,6
Celerio,Hatchback,Automatic,1,3995,Maruti,2017,23.1,Petrol,102958,420000,Chennai,7
Corolla,Sedan,Manual,1,2155,Toyota,2013,21.43,Diesel,62900,775000,Chennai,11
Wagon,Hatchback,Manual,2,4310,Maruti,2015,20.51,Petrol,65076,395000,Chennai,9
Baleno,Hatchback,Manual,1,3962,Maruti,2016,21.4,Petrol,75876,533000,Chennai,8
i20,Hatchback,Manual,1,1482,Hyundai,2015,18.6,Petrol,98911,547000,Chennai,9
Celerio,Hatchback,Manual,1,3979,Maruti,2015,23.1,Petrol,45000,395000,Chennai,9
Verna,Sedan,Automatic,1,1784,Hyundai,2017,19.08,Diesel,76089,908000,Chennai,7
Grand,Hatchback,Manual,2,5604,Hyundai,2017,18.9,Petrol,54505,521000,Chennai,7
A3,Sedan,Automatic,1,7,Audi,2019,20.38,Diesel,24000,2290000,Chennai,5
Swift,Sedan,Manual,1,10244,Maruti,2016,22.41,Petrol,96573,507000,Chennai,8
Seltos,SUV,Automatic,1,8950,Kia,2019,19.18624891,Diesel,30000,1625000,Chennai,5
Grand,Hatchback,Manual,2,1550,Hyundai,2016,18.9,Petrol,63720,528000,Chennai,8
Alto,Hatchback,Manual,1,7075,Maruti,2021,22.05,Petrol,14411,434999,Chennai,3
Taigun,SUV,Automatic,1,8609,Volkswagen,2022,18.41,Petrol,11000,1490000,Chennai,2
Kushaq,SUV,Automatic,1,8676,Skoda,2022,18.86,Petrol,21000,1789999,Chennai,2
WR-V,SUV,Manual,1,5475,Honda,2017,17.5,Petrol,34392,625000,Chennai,7
Grand,Hatchback,Manual,1,7091,Hyundai,2022,20.7,Petrol,20000,690000,Chennai,2
Sonet,SUV,Manual,1,8010,Kia,2022,18.2,Petrol,10000,1350000,Chennai,2
Astor,SUV,Automatic,1,8664,MG,2022,14.82,Petrol,20000,1550000,Chennai,2
Glanza,Hatchback,Automatic,1,6978,Toyota,2019,19.56,Petrol,47000,790000,Chennai,5
