model,Body,transmission,owners,VIN,model_year,Mileage,Fuel,Kilometer,price,City,Car_Age,model_encoded,Body_encoded,transmission_encoded,Fuel_encoded,price_encoded,City_encoded
0.612903226,0.222222222,1,1,0.357432615,2016,0.530960326,1,0.70205959,550000,0.2,0.184210526,19,2,1,4,891,1
0.290322581,0.888888889,1,2,0.670152348,2014,0.427141268,1,0.741299194,375000,0.2,0.236842105,9,8,1,4,618,1
0.193548387,0.888888889,1,2,0.069413143,2011,0.330737857,1,0.708887437,265000,0.2,0.315789474,6,8,1,4,421,1
0.290322581,0.222222222,0,1,0.718651402,2020,0.371523915,1,0.694804771,808000,0.2,0.078947368,9,2,0,4,1230,1
0.290322581,0.222222222,1,1,0.120436311,2016,0.430849092,1,0.720656059,542000,0.2,0.184210526,9,2,1,4,883,1
0.290322581,0.888888889,0,1,0.104931038,2016,0.312198739,1,0.727423076,529000,0.2,0.184210526,9,8,0,4,870,1
0.967741935,0.222222222,1,1,0.54079149,2017,0.338153504,1,0.726396118,684000,0.2,0.157894737,30,2,1,4,1065,1
0.225806452,0.777777778,1,2,0.548814568,2018,0.590285502,0.25,0.721483573,813000,0.2,0.131578947,7,7,1,1,1234,1
0.612903226,0.888888889,0,1,0.515730641,2015,0.44642195,1,0.682763081,650000,0.2,0.210526316,19,8,0,4,1031,1
0.419354839,0.777777778,1,1,0.631659605,2021,0.267704857,1,0.61529407,1802000,0.2,0.052631579,13,7,1,4,329,1
0.322580645,0.222222222,1,1,0.672946903,2019,0.427141268,1,0.662043443,745000,0.2,0.105263158,10,2,1,4,1153,1
0.612903226,0.222222222,1,1,0.357342468,2017,0.530960326,1,0.718694205,619000,0.2,0.157894737,19,2,1,4,1000,1
0.322580645,0.888888889,1,1,0.52104931,2019,0.48424175,1,0.67550586,650000,0.2,0.105263158,10,8,1,4,1031,1
0.290322581,0.222222222,0,2,0.120346164,2016,0.441972562,1,0.753547701,500000,0.2,0.184210526,9,2,0,4,841,1
0.612903226,0.444444444,1,1,0.364013342,2019,0.64664442,0.25,0.631315669,1145000,0.2,0.105263158,19,4,1,1,143,1
0.903225806,0.777777778,1,1,0.675921752,2019,0.343715239,0.25,0.641247381,1600000,0.2,0.105263158,28,7,1,1,282,1
0.612903226,0.222222222,1,1,0.35671144,2016,0.530960326,1,0.719190297,540000,0.2,0.184210526,19,2,1,4,881,1
0.967741935,0.888888889,1,1,0.179752997,2015,0.334074898,1,0.71203103,675000,0.2,0.210526316,30,8,1,4,1056,1
0.967741935,0.888888889,1,2,0.567925719,2017,0.367816092,1,0.73356402,510000,0.2,0.157894737,30,8,1,4,851,1
0.290322581,0.888888889,1,1,0.506896241,2017,0.382647386,1,0.71404466,830000,0.2,0.157894737,9,8,1,4,1249,1
0.290322581,0.888888889,0,1,0.113585144,2012,0.315906563,1,0.720116162,510000,0.2,0.289473684,9,8,0,4,851,1
0.612903226,0.444444444,0,1,0.639592536,2019,0.404523545,1,0.727423076,1200000,0.2,0.105263158,19,4,0,4,161,1
0.290322581,0.888888889,1,1,0.109077797,2017,0.39747868,1,0.731901968,766000,0.2,0.157894737,9,8,1,4,1172,1
0.322580645,0.222222222,1,1,0.633192103,2019,0.490174268,1,0.650973718,449000,0.2,0.105263158,10,2,1,4,747,1
0.322580645,0.888888889,1,4,0.537456053,2017,0.367816092,1,0.735011973,750000,0.2,0.157894737,10,8,1,4,1158,1
0.290322581,0.222222222,1,2,0.10808618,2012,0.456803856,1,0.716084713,317000,0.2,0.289473684,9,2,1,4,561,1
0.548387097,0.777777778,1,1,0.674208961,2020,0.323692992,1,0.721335031,1560000,0.2,0.078947368,17,7,1,4,268,1
0.322580645,0.222222222,1,1,0.504822861,2017,0.438264739,1,0.735113551,522000,0.2,0.157894737,10,2,1,4,863,1
0.322580645,0.222222222,1,1,0.13314703,2015,0.427141268,1,0.76792516,500000,0.2,0.210526316,10,2,1,4,841,1
0.225806452,0.222222222,1,1,0.570720274,2018,0.441972562,1,0.670866425,627000,0.2,0.131578947,7,2,1,4,1008,1
0.612903226,0.222222222,0,1,0.533219147,2018,0.530960326,1,0.718844354,687000,0.2,0.131578947,19,2,0,4,1068,1
0.322580645,0.888888889,1,3,0.158298026,2007,0.241750093,0.25,0.753547701,205000,0.2,0.421052632,10,8,1,1,365,1
0.967741935,0.222222222,1,2,0.17497521,2015,0.338153504,1,0.708887437,525000,0.2,0.210526316,30,2,1,4,866,1
0.612903226,0.222222222,1,1,0.374921121,2017,0.67185762,0.25,0.722125951,620000,0.2,0.157894737,19,2,1,1,1001,1
0.580645161,0.777777778,1,2,0.338051023,2018,0.423062662,0.25,0.688903952,825000,0.2,0.131578947,18,7,1,1,1245,1
0.612903226,0.222222222,1,1,0.638150185,2015,0.523915462,1,0.723761991,530000,0.2,0.210526316,19,2,1,4,871,1
0.580645161,0.777777778,1,1,0.338051023,2015,0.423062662,0.25,0.741800481,650000,0.2,0.210526316,18,7,1,1,1031,1
0.612903226,0.888888889,1,1,0.514919318,2017,0.779013719,0.25,0.747295067,650000,0.2,0.157894737,19,8,1,1,1031,1
0.967741935,0.888888889,1,1,0.169205805,2016,0.540600667,0.25,0.742073734,570000,0.2,0.184210526,30,8,1,1,911,1
0.322580645,0.888888889,1,2,0.168214189,2016,0.445680386,1,0.719630811,458000,0.2,0.184210526,10,8,1,4,756,1
0.290322581,0.888888889,1,2,0.109077797,2016,0.39747868,1,0.75079488,577000,0.2,0.184210526,9,8,1,4,918,1
0.290322581,0.777777778,1,1,0.510502118,2018,0.386355209,1,0.690351888,900000,0.2,0.131578947,9,7,1,4,1314,1
0.322580645,0.222222222,1,1,0.638781213,2021,0.505005562,1,0.690944776,649000,0.2,0.052631579,10,2,1,4,1030,1
0.322580645,0.222222222,1,1,0.13314703,2016,0.427141268,1,0.75326142,549000,0.2,0.184210526,10,2,1,4,890,1
0.967741935,0.888888889,0,3,0.183539169,2015,0.523915462,0.25,0.741800481,650000,0.2,0.210526316,30,8,0,1,1031,1
0.612903226,0.888888889,1,1,0.923014514,2017,0.568409344,1,0.753534276,514000,0.2,0.157894737,19,8,1,4,855,1
0.322580645,0.222222222,1,2,0.139457315,2016,0.438264739,1,0.713951415,456000,0.2,0.184210526,10,2,1,4,754,1
0.612903226,0.222222222,1,2,0.35671144,2016,0.530960326,1,0.728607323,502000,0.2,0.184210526,19,2,1,4,843,1
0.612903226,0.888888889,1,1,0.637429009,2018,0.523915462,1,0.690447747,685000,0.2,0.131578947,19,8,1,4,1066,1
0.64516129,0.888888889,0,1,0.425223114,2018,0.027067112,1,0.716951812,110000,0.2,0.131578947,20,8,0,4,5,1
0.290322581,0.222222222,1,1,0.11989543,2016,0.430849092,1,0.714801473,580000,0.2,0.184210526,9,2,1,4,921,1
0.290322581,0.222222222,1,2,0.120436311,2016,0.430849092,1,0.709952434,530000,0.2,0.184210526,9,2,1,4,871,1
0.64516129,0.888888889,0,3,0.425403408,2009,0.219503152,0.25,0.697140325,1700000,0.2,0.368421053,20,8,0,1,302,1
0.612903226,0.222222222,0,1,0.359686289,2017,0.593993326,1,0.743678714,420000,0.2,0.157894737,19,2,0,4,719,1
0.935483871,0.888888889,1,1,0.19381592,2013,0.532072673,0.25,0.711928677,775000,0.2,0.263157895,29,8,1,1,1180,1
0.612903226,0.222222222,1,2,0.388082575,2015,0.497960697,1,0.71411995,395000,0.2,0.210526316,19,2,1,4,639,1
0.612903226,0.222222222,1,1,0.35671144,2016,0.530960326,1,0.724012983,533000,0.2,0.184210526,19,2,1,4,874,1
0.322580645,0.222222222,1,1,0.13314703,2015,0.427141268,1,0.741094976,547000,0.2,0.210526316,10,2,1,4,888,1
0.612903226,0.222222222,1,1,0.358243938,2015,0.593993326,1,0.690351888,395000,0.2,0.210526316,19,2,1,4,639,1
0.322580645,0.888888889,0,1,0.160371405,2017,0.444938821,0.25,0.724193601,908000,0.2,0.157894737,10,8,0,1,1321,1
